sr.no,test.summary,test.description,http.path,http.method,input.json,assertion,test_case_id,response.code,module
1,create_rnc_package,POST : Create Rnc Package rest_rnc_package : 201,pd/rncpackage/rnc-package.json,POST,create_rnc_package.json,,29167,201,rnc package
2,create_event_rnc_package,POST : Create event Rnc Package rest_rnc_package : 201,pd/rncpackage/rnc-package.json,POST,create_event_rnc_package.json,,61934,201,rnc package
3,get_created_rnc_package,GET : rest_rnc_package should be displayed : 200,pd/rncpackage/rnc-package/rest_rnc_package_11111111.json,GET,,,29168,200,rnc package
4,get_created_event_rnc_package,GET : rest_event_rnc_package should be displayed : 200,pd/rncpackage/rnc-package/rest_event_rnc_package_11111111.json,GET,,,61935,200,rnc package
5,create_rate_card,POST : Create Rate card rest_rate_card : 201,pd/monetaryratecard/monetary-rate-card.json,POST,create_rate_card.json,,29169,201,rate card
6,create_event_rate_card,POST : Create Rate card rest_event_rate_card : 201,pd/monetaryratecard/monetary-rate-card.json,POST,create_event_rate_card.json,,61936,201,rate card
7,get_created_rate_card,GET : rest_rate_card should be displayed : 200,pd/monetaryratecard/monetary-rate-card/rest_rate_card_11111111.json,GET,,,29170,200,rate card
8,get_created_event_rate_card,GET : rest_event_rate_card should be displayed : 200,pd/monetaryratecard/monetary-rate-card/rest_event_rate_card_11111111.json,GET,,,61937,200,rate card
9,create_non_monetary_rate_card,POST : Create Non Monetary Rate card rest_non_monetary_rate_card : 201,pd/nonmonetaryratecard/non-monetary-rate-card.json,POST,create_non_monetary_rate_card.json,,29171,201,non monetary rate card
10,create_event_non_monetary_rate_card,POST : Create event based Non Monetary Rate card rest_non_monetary_rate_card : 201,pd/nonmonetaryratecard/non-monetary-rate-card.json,POST,create_event_non_monetary_rate_card.json,,61938,201,non monetary rate card
11,get_created_non_monetary_rate_card,GET : rest_non_monetary_rate_card should be displayed : 200,pd/nonmonetaryratecard/non-monetary-rate-card/rest_non_monetary_rate_card_11111111.json,GET,,,29172,200,non monetary rate card
12,get_created_event_non_monetary_rate_card,GET : rest_event_non_monetary_rate_card should be displayed : 200,pd/nonmonetaryratecard/non-monetary-rate-card/rest_event_non_mon_rc_11111111.json,GET,,,61939,200,non monetary rate card
13,create_rate_card_group,POST : Create Rate card group rest_rate_card_group : 201,pd/ratecardgroup/rate-card-group.json,POST,create_rate_card_group.json,,29173,201,rate card group
14,create_event_rate_card_group,POST : Create Event Rate card group rest_event_rate_card_group : 201,pd/ratecardgroup/rate-card-group.json,POST,create_event_rate_card_group.json,,61940,201,rate card group
15,get_rate_card_group,GET : rest_rate_card_group should be displayed : 200,pd/ratecardgroup/rate-card-group/rest_rate_card_group_11111111.json,GET,,,29174,200,rate card group
16,get_event_rate_card_group,GET : rest_event_rate_card_group should be displayed : 200,pd/ratecardgroup/rate-card-group/rest_event_rcg_11111111.json,GET,,,61941,200,rate card group
17,update_rnc_package,PUT : Update rest_rnc_package and change name to updated_rest_rnc_package : 200,pd/rncpackage/rnc-package/rest_rnc_package_11111111.json,PUT,update_rnc_package.json,,29175,200,rnc package
18,update_event_rnc_package,PUT : Update rest_event_rnc_package and change name to updated_rest_event_rnc_package : 200,pd/rncpackage/rnc-package/rest_event_rnc_package_11111111.json,PUT,update_event_rnc_package.json,,61942,200,rnc package
19,get_updated_rnc_package,GET : updated_rest_rnc_package should be displayed : 200,pd/rncpackage/rnc-package/rest_rnc_package_11111111.json,GET,,,29176,200,rnc package
20,get_updated_event_rnc_package,GET : updated_rest_event_rnc_package should be displayed : 200,pd/rncpackage/rnc-package/rest_event_rnc_package_11111111.json,GET,,,61943,200,rnc package
21,update_rate_card,PUT : Update rest_rate_card and change name to updated_rest_rate_card : 200,pd/monetaryratecard/monetary-rate-card/rest_rate_card_11111111.json,PUT,update_rate_card.json,,29177,200,rate card
22,update_event_rate_card,PUT : Update rest_event_rate_card and change name to updated_event_rest_rate_card : 200,pd/monetaryratecard/monetary-rate-card/rest_event_rate_card_11111111.json,PUT,update_event_rate_card.json,,61944,200,rate card
23,get_updated_rate_card,GET : updated_rest_rate_card should be displayed : 200,pd/monetaryratecard/monetary-rate-card/rest_rate_card_11111111.json,GET,,,29178,200,rate card
24,get_updated_event_rate_card,GET : updated_rest_event_rate_card should be displayed : 200,pd/monetaryratecard/monetary-rate-card/rest_event_rate_card_11111111.json,GET,,,61945,200,rate card
25,update_non_monetary_rate_card,PUT : Update rest_non_monetary_rate_card and change name to updated_rest_non_monetary_rate_card : 200,pd/nonmonetaryratecard/non-monetary-rate-card/rest_non_monetary_rate_card_11111111.json,PUT,update_non_monetary_rate_card.json,,29179,200,non monetary rate card
26,update_event_non_monetary_rate_card,PUT : Update rest_event_non_monetary_rate_card and change name to updated_rest_non_mon_rc : 200,pd/nonmonetaryratecard/non-monetary-rate-card/rest_event_non_mon_rc_11111111.json,PUT,update_event_non_monetary_rate_card.json,,61946,200,non monetary rate card
27,get_updated_non_monetary_rate_card,GET : updated_rest_non_monetary_rate_card should be displayed : 200,pd/nonmonetaryratecard/non-monetary-rate-card/rest_non_monetary_rate_card_11111111.json,GET,,,29180,200,non monetary rate card
28,get_updated_event_non_monetary_rate_card,GET : updated_rest_event_non_monetary_rate_card should be displayed : 200,pd/nonmonetaryratecard/non-monetary-rate-card/rest_event_non_mon_rc_11111111.json,GET,,,61947,200,non monetary rate card
29,update_rate_card_group,PUT : Update rest_rate_card_group and change name to updated_rest_rate_card_group : 200,pd/ratecardgroup/rate-card-group/rest_rate_card_group_11111111.json,PUT,update_rate_card_group.json,,29181,200,rate card group
30,update_event_rate_card_group,PUT : Update rest_event_rate_card_group and change name to updated_rest_event_rate_card_group : 200,pd/ratecardgroup/rate-card-group/rest_event_rcg_11111111.json,PUT,update_event_rate_card_group.json,,61948,200,rate card group
31,get_updated_rate_card_group,GET : updated_rest_rate_card_group should be displayed : 200,pd/ratecardgroup/rate-card-group/rest_rate_card_group_11111111.json,GET,,,29182,200,rate card group
32,get_updated_event_rate_card_group,GET : updated_rest_event_rate_card_group should be displayed : 200,pd/ratecardgroup/rate-card-group/rest_event_rcg_11111111.json,GET,,,61949,200,rate card group
33,create_threshold_notification,POST : Create Threshold Notification : 201,pd/rncnotification/rnc-notification.json,POST,create_threshold_notification.json,,31083,201,threshold notification
34,get_created_threshold_notification,GET : rest_threshold_notification_11111111 should be displayed : 200,pd/rncnotification/rnc-notification/rest_rnc_notification_11111111.json,GET,,,31084,200,threshold notification
35,update_threshold_notification,PUT : update rest_rnc_notification_11111111 threshold value to 40 : 200,pd/rncnotification/rnc-notification/rest_rnc_notification_11111111.json,PUT,update_threshold_notification.json,,31085,200,threshold notification
36,get_updated_threshold_notification,GET : rest_threshold_notification_11111111 should be displayed : 200,pd/rncnotification/rnc-notification/rest_rnc_notification_11111111.json,GET,,"""threshold"":40",31086,200,threshold notification
37,delete_threshold_notification,DELETE : Delete  rest_threshold_notifcation_11111111 : 200,pd/rncnotification/rnc-notification/rest_rnc_notification_11111111.json,DELETE,,,31088,200,threshold notification
38,get_deleted_threshold_notification,GET : rest_threshold_notification_11111111 should be displayed : 404,pd/rncnotification/rnc-notification/rest_rnc_notification_11111111.json,GET,,"{""actionErrors"":[""RnC Notification Not Found with id: rest_rnc_notification_11111111""]}",31087,404,threshold notification
39,delete_rnc_package,DELETE : Delete  updated_rest_rnc_package : 200,pd/rncpackage/rnc-package/rest_rnc_package_11111111.json,DELETE,,,29183,200,rnc package
40,delete_event_rnc_package,DELETE : Delete  updated_event_rest_rnc_package : 200,pd/rncpackage/rnc-package/rest_event_rnc_package_11111111.json,DELETE,,,61950,200,rnc package
41,get_deleted_rnc_package,GET :  updated_rest_rnc_package should not be displayed : 404,pd/rncpackage/rnc-package/rest_rnc_package_11111111.json,GET,,"{""actionErrors"":[""RnC Package Not Found with id rest_rnc_package_11111111""]}",29184,404,rnc package
42,get_deleted_event_rnc_package,GET :  updated_rest_event_rnc_package should not be displayed : 404,pd/rncpackage/rnc-package/rest_event_rnc_package_11111111.json,GET,,"{""actionErrors"":[""RnC Package Not Found with id rest_event_rnc_package_11111111""]}",61951,404,rnc package
43,get_deleted_rate_card,GET :  updated_rest_rate_card should not be displayed : 404,pd/monetaryratecard/monetary-rate-card/rest_rate_card_11111111.json,GET,,"{""actionErrors"":[""Monetary Rate Card Not Found with id: rest_rate_card_11111111""]}",29185,404,rate card
44,get_deleted_event_rate_card,GET :  updated_rest_event_rate_card should not be displayed : 404,pd/monetaryratecard/monetary-rate-card/rest_event_rate_card_11111111.json,GET,,"{""actionErrors"":[""Monetary Rate Card Not Found with id: rest_event_rate_card_11111111""]}",61952,404,rate card
45,get_deleted_non_monetary_rate_card,GET :  updated_rest_non_monetary_rate_card should not be displayed : 404,pd/nonmonetaryratecard/non-monetary-rate-card/rest_non_monetary_rate_card_11111111.json,GET,,"{""actionErrors"":[""NonMonetary Rate Card Not Found with id: rest_non_monetary_rate_card_11111111""]}",29186,404,non monetary rate card
46,get_deleted_event_non_monetary_rate_card,GET :  updated_rest_event_non_monetary_rate_card should not be displayed : 404,pd/nonmonetaryratecard/non-monetary-rate-card/rest_event_non_monetary_rc_11111111.json,GET,,"{""actionErrors"":[""NonMonetary Rate Card Not Found with id: rest_event_non_monetary_rc_11111111""]}",61953,404,non monetary rate card
47,get_deleted_rate_card_group,GET :  updated_rest_rate_card_group should not be displayed : 404,pd/ratecardgroup/rate-card-group/rest_rate_card_group_11111111.json,GET,,"{""actionErrors"":[""Rate Card Group Not Found with id: rest_rate_card_group_11111111""]}",29187,404,rate card group
48,get_deleted_event_rate_card_group,GET :  updated_rest_event_rate_card_group should not be displayed : 404,pd/ratecardgroup/rate-card-group/rest_event_rcg_11111111.json,GET,,"{""actionErrors"":[""Rate Card Group Not Found with id: rest_event_rcg_11111111""]}",61954,404,rate card group
49,create_rnc_addon,POST : Create Rnc AddOn rest_rnc_addon : 201,pd/rncpackage/rnc-package.json,POST,create_rnc_addon.json,,33793,201,rnc addon package
50,get_created_rnc_addon,GET : rest_rnc_addon should be displayed : 200,pd/rncpackage/rnc-package/rest_rnc_addon_11111111.json,GET,,,33794,200,rnc addon package
51,create_rate_card,POST : Create Rate card rest_rate_card : 201,pd/monetaryratecard/monetary-rate-card.json,POST,create_addon_rate_card.json,,33795,201,rate card
52,get_created_rate_card,GET : rest_rate_card should be displayed : 200,pd/monetaryratecard/monetary-rate-card/rest_monetary_rate_card_11111111.json,GET,,,33796,200,rate card
53,create_rate_card_group,POST : Create Rate card group rest_rate_card_group : 201,pd/ratecardgroup/rate-card-group.json,POST,create_addon_rate_card_group.json,,33797,201,rate card group
54,get_rate_card_group,GET : rest_rate_card_group should be displayed : 200,pd/ratecardgroup/rate-card-group/rest_rate_card_group_11111111.json,GET,,,33798,200,rate card group
55,update_rnc_addon,PUT : Update rest_rnc_addon and change name to updated_rest_rnc_addon : 200,pd/rncpackage/rnc-package/rest_rnc_addon_11111111.json,PUT,update_rnc_addon.json,,33799,200,rnc addon package
56,get_updated_rnc_addon,GET : updated_rest_rnc_package should be displayed : 200,pd/rncpackage/rnc-package/rest_rnc_addon_11111111.json,GET,,,33800,200,rnc addon package
57,update_rate_card,PUT : Update rest_rate_card and change name to updated_rest_rate_card : 200,pd/monetaryratecard/monetary-rate-card/rest_monetary_rate_card_11111111.json,PUT,update_addon_rate_card.json,,33801,200,rate card
